Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
1.001488,-0.492496,-0.519997,-0.512497,-0.5075,-0.244999,-0.102497,0.931692,2,0
1.001488,-0.739998,-0.752499,-0.75,-0.84,-0.349998,-0.247501,0.961269,1,2
0.996424,0.1525,0.029999,0.095001,0.067501,-0.035,0.035,0.961269,24,0
0.996424,0.0825,-0.0625,-0.005001,-0.025002,-0.035,-0.07,0.961269,23,2
0.996424,0.012501,-0.044998,-0.072498,-0.174999,-0.139999,-0.07,0.961269,22,2
0.996424,0.07,-0.017502,-0.037502,-0.047501,-0.012501,0.057499,0.961269,21,2
0.996424,0.105,0.02,-0.0825,-0.047501,0.092499,0.035,0.961269,20,1
0.996424,0.095001,-0.012501,-0.022499,0.012501,0.025002,-0.009998,0.961269,19,1
0.996424,0.145,-0.0425,-0.0075,0.1325,0.040001,0.049999,0.961269,18,0
0.996424,0.2225,0.105,0.139999,0.1525,0.127499,0.077499,0.961269,17,0
0.996424,0.225002,0.072502,0.212502,0.120003,0.080002,0.002502,0.961269,16,0
0.996424,0.135002,0.052502,0.065002,0.040001,-0.087498,-0.09,0.961269,15,1
0.996424,0.130001,0.1175,0.025002,-0.014999,-0.095001,-0.005001,0.961269,14,1
0.996424,0.115002,0.045002,0.02,-0.107498,-0.02,-0.014999,0.961269,13,1
0.996424,0.125,0.02,-0.02,-0.100002,-0.005001,0.009998,0.961269,12,1
0.996424,0.107502,0.012501,-0.114998,-0.0275,-0.0075,-0.017498,0.961269,11,1
0.996424,0.057499,-0.087502,-0.167503,-0.072502,-0.067501,-0.050003,0.961269,10,2
0.996424,-0.040001,-0.262501,-0.175003,-0.155003,-0.147503,-0.0975,0.961269,9,3
0.996424,-0.0825,-0.307503,-0.212502,-0.2075,-0.139999,-0.0425,0.961269,8,4
0.996424,-0.112499,-0.247501,-0.227501,-0.220001,-0.072498,-0.029999,0.961269,7,4
0.996424,-0.067501,-0.197502,-0.192501,-0.125,0.014999,0.044998,0.961269,6,4
0.996424,-0.017498,-0.1325,-0.125,0.022503,0.095001,0.050003,0.961269,5,3
0.996424,-0.0275,-0.1525,-0.084999,0.055,0.040001,-0.010002,0.961269,4,3
0.996424,0.025002,-0.0825,0.065002,0.137501,0.0425,0.052502,0.961269,3,2
